company,email,industry,city,state,country,originalWebsite,source,status,personalisedColdEmail,mockupEmail,personalizedObservation,salesNote,tags,leadScore,estimatedValue,lowestEstimate,highestEstimate,dateAdded
Artesian Custom Pools,info@artesiancustompools.com,Pool building,Frisco,TX,USA,https://artesiancustompools.com,cold-outreach,researched,"Subject: sorting your pools

Hi [First Name],

Looked at Artesian Custom Pools the way a homeowner in Frisco does — trying to find a build that looks like my backyard, at roughly my number. One long scroll, no way to narrow it, no price anywhere.

That's a ninety-thousand-dollar build going to the company that answered the money question first.

Gallery filterable by size, style and budget. A starting number said out loud.

Let me build it for you. A real homepage for Artesian Custom Pools, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Want it?

[Sender Name]
Bothmade","Subject: here it is

Built it. Here.

Builds filterable by size, style and budget band, with a starting range stated plainly and a timeline from signing to swimming.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: would you publish a starting price, or does that cost you more than it wins?

[Sender Name]","the gallery cannot be sorted, so nobody finds a build that looks like their own yard",Address published by the business itself — verified in research.,field-run-008;pool-building;TX;confirmed-email,85,10000,"$5,000","$18,000",06082026
Ash and Rowan Family Dentistry,office@ashrowandental.com,Cosmetic dentistry,Spokane,WA,USA,https://ashrowandental.com,cold-outreach,researched,"Subject: one case a month

Hi [First Name],

Went looking for veneers in Spokane the way a patient does. Nine at night, on a phone, three years of putting it off. Found Ash and Rowan Family Dentistry. Couldn't find a case that looked like mine, couldn't find a price, couldn't book.

One case a month lost that way costs more than a website. Several times over.

Cases first, filterable, a price range said out loud, and a booking that works at 9pm.

I'd like to build it and show you. One homepage, designed for Ash and Rowan Family Dentistry, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Want me to build it?

[Sender Name]
Bothmade","Subject: Ash and Rowan Family Dentistry — built it

Built it. Here.

Cases at the top, filterable by treatment. The range stated in real numbers. Booking that doesn't need your front desk awake.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your read on: veneers or implants — which pays you better?

[Sender Name]",the cases and the price range are the two things a $15k patient wants and the two hardest things to reach,Address published by the business itself — verified in research.,field-run-008;cosmetic-dentistry;WA;confirmed-email,85,12000,"$6,000","$22,000",06082026
BA Med Spa,info@baweightspa.com,Med spa,Tulsa,OK,USA,https://baweightspa.com,cold-outreach,researched,"Subject: reviews vs booking button

Hi [First Name],

Found BA Med Spa at 9pm on my phone, the way your next client will. The reviews sold me in about forty seconds. Then the only way to book was a phone number and a front desk that shut at five.

She doesn't call in the morning. She books the spa that let her book at 9pm.

Treatments priced, bookable in two taps, reviews right beside them.

Here's my offer. I'll design that page for BA Med Spa and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Worth a look? One word back and I'll start.

[Sender Name]
Bothmade","Subject: here it is

Built it. Here.

Treatments priced, bookable in two taps, reviews doing the closing right beside them. Memberships obvious instead of three pages deep.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you let a new client book without a consult call first?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,Address published by the business itself — verified in research.,field-run-008;med-spa;OK;confirmed-email,85,10000,"$5,000","$18,000",06082026
Boise Landscaping Company,info@boiselandscapingcompany.com,Landscape design build,Boise,ID,USA,https://boiselandscapingcompany.com,cold-outreach,researched,"Subject: design fee, unsaid

Hi [First Name],

Went through Boise Landscaping Company's work the way a homeowner commissioning a garden does. It's beautiful. It's also one long scroll — no way to narrow by style, scale or budget, and nothing about what design costs.

And the inquiries that land are vague, so the first call is about scope instead of the garden.

Projects filterable by style, scale and budget. The design process spelled out so the brief arrives specific.

Let me build it for you. A real homepage for Boise Landscaping Company, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Should I send it over?

[Sender Name]
Bothmade","Subject: built it

Here it is — Boise Landscaping Company, as promised.

Projects filterable by style, scale and budget band, with the design process spelled out — so the brief that reaches you already knows what it's asking for.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: would publishing a design fee range help you or cost you?

[Sender Name]","design-led buyers choose from images and yours cannot be narrowed by style, scale or budget",Address published by the business itself — verified in research.,field-run-008;landscape-design-build;ID;confirmed-email,85,9000,"$5,000","$16,000",06082026
BuilderPro,office@builderpro.contractors,Custom home building,Wilmington,NC,USA,https://builderpro.contractors,cold-outreach,researched,"Subject: they couldn't find their house

Hi [First Name],

Your work is the sale. I looked at it the way a buyer does and there was no way to narrow it — no budget band, no style, no scope. Forty thumbnails and good luck.

That's a real project deciding you're not the one, on no evidence either way.

Sort the work the way buyers actually choose, and put the process where the fear is.

Here's my offer. I'll design that page for BuilderPro and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Should I send it over?

[Sender Name]
Bothmade","Subject: built it

Here it is — BuilderPro, as promised.

Projects sortable the way buyers choose, and the build process laid out month by month, which is the part they're actually frightened of.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you ever show budget bands publicly, or is that a fight with your sales process?

[Sender Name]","the portfolio is the whole sale and there is no way to sort it by budget, style or scope",Address published by the business itself — verified in research.,field-run-008;custom-home-building;NC;confirmed-email,85,22000,"$12,000","$35,000",06082026
Clarkson Pools,info@clarksonpools.com,Pool building,Jacksonville,FL,USA,https://clarksonpools.com,cold-outreach,researched,"Subject: what does one like mine cost

Hi [First Name],

Looked at Clarkson Pools the way a homeowner in Jacksonville does — trying to find a build that looks like my backyard, at roughly my number. One long scroll, no way to narrow it, no price anywhere.

That's a ninety-thousand-dollar build going to the company that answered the money question first.

Gallery filterable by size, style and budget. A starting number said out loud.

Let me build it for you. A real homepage for Clarkson Pools, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Worth a look? One word back and I'll start.

[Sender Name]
Bothmade","Subject: built it

Built it. Here.

Builds filterable by size, style and budget band, with a starting range stated plainly and a timeline from signing to swimming.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: would you publish a starting price, or does that cost you more than it wins?

[Sender Name]","the gallery cannot be sorted, so nobody finds a build that looks like their own yard",Address published by the business itself — verified in research.,field-run-008;pool-building;FL;confirmed-email,85,10000,"$5,000","$18,000",06082026
Costello Construction,will@costelloconstructioninc.com,Custom home building,Fort Myers,FL,USA,https://costelloconstructioninc.com,cold-outreach,researched,"Subject: filtering your projects

Hi [First Name],

Went through Costello Construction's portfolio the way a couple with a lot and three million dollars does — hunting for the one house that looks like the one in their head. Couldn't sort by budget, style or scope. Just scrolled.

They don't email to ask. They go and look at the builder whose site let them filter.

Portfolio filterable by budget band, style and scope. Inquiry that asks about the lot, the number and the timing.

I'd like to build it and show you. One homepage, designed for Costello Construction, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Want me to build it?

[Sender Name]
Bothmade","Subject: built it

Here it is — Costello Construction, as promised.

Portfolio filterable by budget, style and scope — so a couple with a specific project finds theirs in about nine seconds. Inquiry that arrives with the lot, the number and the timing on it.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your answer on: what do you wish every inquiry told you before you called them back?

[Sender Name]","the portfolio is the whole sale and there is no way to sort it by budget, style or scope",Address published by the business itself — verified in research.,field-run-008;custom-home-building;FL;confirmed-email,85,22000,"$12,000","$35,000",06082026
Creations Design and Build,creationsdesignandbuild@gmail.com,Landscape design build,Hillsboro,OR,USA,https://creationsdesignandbuild.com,cold-outreach,researched,"Subject: design fee, unsaid

Hi [First Name],

Went through Creations Design and Build's work the way a homeowner commissioning a garden does. It's beautiful. It's also one long scroll — no way to narrow by style, scale or budget, and nothing about what design costs.

And the inquiries that land are vague, so the first call is about scope instead of the garden.

Projects filterable by style, scale and budget. The design process spelled out so the brief arrives specific.

I'd like to build it and show you. One homepage, designed for Creations Design and Build, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Should I send it over?

[Sender Name]
Bothmade","Subject: built it

Built it. Here.

Projects filterable by style, scale and budget band, with the design process spelled out — so the brief that reaches you already knows what it's asking for.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: would publishing a design fee range help you or cost you?

[Sender Name]","design-led buyers choose from images and yours cannot be narrowed by style, scale or budget",Address published by the business itself — verified in research.,field-run-008;landscape-design-build;OR;confirmed-email,85,9000,"$5,000","$16,000",06082026
Dean Cosmetic Dentistry,info@deancosmeticdentistry.com,Cosmetic dentistry,Knoxville,TN,USA,https://deancosmeticdentistry.com,cold-outreach,researched,"Subject: one case a month

Hi [First Name],

A smile-makeover patient researches for months, alone, at night, on a phone. I did that to Dean Cosmetic Dentistry. Got as far as a phone number and a form.

They don't call in the morning. They keep scrolling and someone else does the case.

Cases first, filterable, a price range said out loud, and a booking that works at 9pm.

Let me build it for you. A real homepage for Dean Cosmetic Dentistry, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Worth a look? One word back and I'll start.

[Sender Name]
Bothmade","Subject: here it is

Here it is.

Cases at the top, filterable by treatment. The range stated in real numbers. Booking that doesn't need your front desk awake.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your read on: veneers or implants — which pays you better?

[Sender Name]",the cases and the price range are the two things a $15k patient wants and the two hardest things to reach,Address published by the business itself — verified in research.,field-run-008;cosmetic-dentistry;TN;confirmed-email,85,12000,"$6,000","$22,000",06082026
Dental Care of Spokane,info@dentalcareofspokane.com,Cosmetic dentistry,Spokane,WA,USA,https://dentalcareofspokane.com,cold-outreach,researched,"Subject: your veneer cases

Hi [First Name],

Went looking for veneers in Spokane the way a patient does. Nine at night, on a phone, three years of putting it off. Found Dental Care of Spokane. Couldn't find a case that looked like mine, couldn't find a price, couldn't book.

They don't call in the morning. They keep scrolling and someone else does the case.

Before-and-afters up front, the range in plain numbers, financing mentioned before they ask.

So here's what I'll do. I'll build Dental Care of Spokane that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Want it?

[Sender Name]
Bothmade","Subject: built it

Here it is.

A homepage built for the cosmetic patient rather than the check-up patient — cases, price, and one tap to a consult.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: does a price range on the site bring you better calls or worse ones?

[Sender Name]",the cases and the price range are the two things a $15k patient wants and the two hardest things to reach,Address published by the business itself — verified in research.,field-run-008;cosmetic-dentistry;WA;confirmed-email,85,12000,"$6,000","$22,000",06082026
