company,email,industry,city,state,country,originalWebsite,source,status,personalisedColdEmail,mockupEmail,personalizedObservation,salesNote,tags,leadScore,estimatedValue,lowestEstimate,highestEstimate,dateAdded
A & N Pools,info@anpoolsinc.com,Pool building,Palm Desert,CA,USA,https://anpoolsinc.com,cold-outreach,researched,"Subject: what does one like mine cost

Hi [First Name],

Looked at A & N Pools the way a homeowner in Palm Desert does — trying to find a build that looks like my backyard, at roughly my number. One long scroll, no way to narrow it, no price anywhere.

That's a ninety-thousand-dollar build going to the company that answered the money question first.

Gallery filterable by size, style and budget. A starting number said out loud.

Let me build it for you. A real homepage for A & N Pools, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Should I send it over?

[Sender Name]
Bothmade","Subject: built it

Here it is.

Builds filterable by size, style and budget band, with a starting range stated plainly and a timeline from signing to swimming.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: would you publish a starting price, or does that cost you more than it wins?

[Sender Name]","the gallery cannot be sorted, so nobody finds a build that looks like their own yard",Address published by the business itself — verified in research.,field-run-009;pool-building;CA;confirmed-email,85,10000,"$5,000","$18,000",06082026
AM Landscape Construction,am@landscapingam.com,Landscape design build,San Diego,CA,USA,https://landscapingam.com,cold-outreach,researched,"Subject: your gardens, sorted

Hi [First Name],

Your gardens are genuinely good. A design-led client chooses from images and yours can't be narrowed, so they never find the one that looks like their lot.

So the client who wanted exactly what you do never works out that you do it.

Projects filterable by style, scale and budget. The design process spelled out so the brief arrives specific.

So here's what I'll do. I'll build AM Landscape Construction that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Want it?

[Sender Name]
Bothmade","Subject: here it is

Here it is.

Projects filterable by style, scale and budget band, with the design process spelled out — so the brief that reaches you already knows what it's asking for.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would publishing a design fee range help you or cost you?

[Sender Name]","design-led buyers choose from images and yours cannot be narrowed by style, scale or budget",Address published by the business itself — verified in research.,field-run-009;landscape-design-build;CA;confirmed-email,85,9000,"$5,000","$16,000",06082026
ANR Landscaping,anrlandscapingservices@gmail.com,Landscape design build,Fort Lauderdale,FL,USA,https://anrlandscaping.com,cold-outreach,researched,"Subject: design fee, unsaid

Hi [First Name],

Went through ANR Landscaping's work the way a homeowner commissioning a garden does. It's beautiful. It's also one long scroll — no way to narrow by style, scale or budget, and nothing about what design costs.

And the inquiries that land are vague, so the first call is about scope instead of the garden.

Projects filterable by style, scale and budget. The design process spelled out so the brief arrives specific.

I'd like to build it and show you. One homepage, designed for ANR Landscaping, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Say yes and it's yours by Friday.

[Sender Name]
Bothmade","Subject: ANR Landscaping — built it

Built it. Here.

Projects filterable by style, scale and budget band, with the design process spelled out — so the brief that reaches you already knows what it's asking for.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: would publishing a design fee range help you or cost you?

[Sender Name]","design-led buyers choose from images and yours cannot be narrowed by style, scale or budget",Address published by the business itself — verified in research.,field-run-009;landscape-design-build;FL;confirmed-email,85,9000,"$5,000","$16,000",06082026
Accent Kitchens and Bath,info@accentkitchensandbath.com,Kitchen and bath remodeling,Virginia Beach,VA,USA,https://accentkitchensandbath.com,cold-outreach,researched,"Subject: your before-and-afters

Hi [First Name],

Looked at Accent Kitchens and Bath the way a homeowner with a sixty-thousand-dollar kitchen in mind does. Your finished work is good. There was no way to find a kitchen like mine, and no way to tell you what my job actually is.

That's a $60k kitchen going to the company whose site made it feel easy.

Projects filterable by room, style and budget. A form that asks about the job, so it arrives ready to quote.

Let me build it for you. A real homepage for Accent Kitchens and Bath, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Want it?

[Sender Name]
Bothmade","Subject: built it

Here it is.

Before-and-afters filterable by room, style and budget band. The inquiry asks about the room, the scope and the timing — so it lands ready to quote instead of ready to interview.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: what do you wish every inquiry told you before you called them back?

[Sender Name]",before-and-afters are what sell this and they sit in a gallery nobody can filter,Address published by the business itself — verified in research.,field-run-009;kitchen-and-bath-remodeling;VA;confirmed-email,85,8500,"$4,000","$15,000",06082026
Arnold Dental,info@lexingtonsmiles.com,Cosmetic dentistry,Lexington,KY,USA,https://cosmeticdentistryoflexington.com,cold-outreach,researched,"Subject: cases, price, booking

Hi [First Name],

Went looking for veneers in Lexington the way a patient does. Nine at night, on a phone, three years of putting it off. Found Arnold Dental. Couldn't find a case that looked like mine, couldn't find a price, couldn't book.

That's the biggest case of the month deciding not to call you.

Before-and-afters up front, the range in plain numbers, financing mentioned before they ask.

Here's my offer. I'll design that page for Arnold Dental and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Say yes and it's yours by Friday.

[Sender Name]
Bothmade","Subject: built it

Here it is — Arnold Dental, as promised.

A homepage built for the cosmetic patient rather than the check-up patient — cases, price, and one tap to a consult.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: does a price range on the site bring you better calls or worse ones?

[Sender Name]",the cases and the price range are the two things a $15k patient wants and the two hardest things to reach,Address published by the business itself — verified in research.,field-run-009;cosmetic-dentistry;KY;confirmed-email,85,12000,"$6,000","$22,000",06082026
Artistry Wellness and MedSpa,info@artistrymedspas.com,Med spa,Manhasset,NY,USA,https://artistrymedspas.com,cold-outreach,researched,"Subject: your 9pm bookings

Hi [First Name],

Found Artistry Wellness and MedSpa at 9pm on my phone, the way your next client will. The reviews sold me in about forty seconds. Then the only way to book was a phone number and a front desk that shut at five.

That's the sale, right there. She books wherever the button is, and you never find out you lost her.

Treatments priced, bookable in two taps, reviews right beside them.

So here's what I'll do. I'll build Artistry Wellness and MedSpa that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Want it?

[Sender Name]
Bothmade","Subject: here it is

Here it is — Artistry Wellness and MedSpa, as promised.

Treatments priced, bookable in two taps, reviews doing the closing right beside them. Memberships obvious instead of three pages deep.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you let a new client book without a consult call first?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,Address published by the business itself — verified in research.,field-run-009;med-spa;NY;confirmed-email,85,10000,"$5,000","$18,000",06082026
DreamMaker Bath and Kitchen Ann Arbor,info@dm-remodel.com,Kitchen and bath remodeling,Ann Arbor,MI,USA,https://dm-remodel.com,cold-outreach,researched,"Subject: the tire-kicker problem

Hi [First Name],

Looked at DreamMaker Bath and Kitchen Ann Arbor the way a homeowner with a sixty-thousand-dollar kitchen in mind does. Your finished work is good. There was no way to find a kitchen like mine, and no way to tell you what my job actually is.

That's a $60k kitchen going to the company whose site made it feel easy.

Projects filterable by room, style and budget. A form that asks about the job, so it arrives ready to quote.

Let me build it for you. A real homepage for DreamMaker Bath and Kitchen Ann Arbor, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Worth a look? One word back and I'll start.

[Sender Name]
Bothmade","Subject: here it is

Here it is.

Before-and-afters filterable by room, style and budget band. The inquiry asks about the room, the scope and the timing — so it lands ready to quote instead of ready to interview.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: what do you wish every inquiry told you before you called them back?

[Sender Name]",before-and-afters are what sell this and they sit in a gallery nobody can filter,Address published by the business itself — verified in research.,field-run-009;kitchen-and-bath-remodeling;MI;confirmed-email,85,8500,"$4,000","$15,000",06082026
Essence Med Spa,essencespasb@gmail.com,Med spa,Santa Barbara,CA,USA,https://essencespasb.com,cold-outreach,researched,"Subject: your 9pm bookings

Hi [First Name],

Found Essence Med Spa at 9pm on my phone, the way your next client will. The reviews sold me in about forty seconds. Then the only way to book was a phone number and a front desk that shut at five.

A booking a night walks that way. Silently. No missed call, no voicemail, nothing to review on Monday.

Treatments priced, bookable in two taps, reviews right beside them.

So here's what I'll do. I'll build Essence Med Spa that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Worth a look? One word back and I'll start.

[Sender Name]
Bothmade","Subject: Essence Med Spa — built it

Built it. Here.

Treatments priced, bookable in two taps, reviews doing the closing right beside them. Memberships obvious instead of three pages deep.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you let a new client book without a consult call first?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,Address published by the business itself — verified in research.,field-run-009;med-spa;CA;confirmed-email,85,10000,"$5,000","$18,000",06082026
Landscape Creations LV,landscapecreations@hotmail.com,Landscape design build,Las Vegas,NV,USA,https://landscapecreationslv.com,cold-outreach,researched,"Subject: design fee, unsaid

Hi [First Name],

Went through Landscape Creations LV's work the way a homeowner commissioning a garden does. It's beautiful. It's also one long scroll — no way to narrow by style, scale or budget, and nothing about what design costs.

And the inquiries that land are vague, so the first call is about scope instead of the garden.

Projects filterable by style, scale and budget. The design process spelled out so the brief arrives specific.

I'd like to build it and show you. One homepage, designed for Landscape Creations LV, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Worth a look? One word back and I'll start.

[Sender Name]
Bothmade","Subject: here it is

Here it is — Landscape Creations LV, as promised.

Projects filterable by style, scale and budget band, with the design process spelled out — so the brief that reaches you already knows what it's asking for.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: would publishing a design fee range help you or cost you?

[Sender Name]","design-led buyers choose from images and yours cannot be narrowed by style, scale or budget",Address published by the business itself — verified in research.,field-run-009;landscape-design-build;NV;confirmed-email,85,9000,"$5,000","$16,000",06082026
Landscape Design Studio,paul@landesignstudio.net,Landscape design build,Fort Lauderdale,FL,USA,https://landesignstudio.net,cold-outreach,researched,"Subject: your gardens, sorted

Hi [First Name],

Went through Landscape Design Studio's work the way a homeowner commissioning a garden does. It's beautiful. It's also one long scroll — no way to narrow by style, scale or budget, and nothing about what design costs.

And the inquiries that land are vague, so the first call is about scope instead of the garden.

Projects filterable by style, scale and budget. The design process spelled out so the brief arrives specific.

I'd like to build it and show you. One homepage, designed for Landscape Design Studio, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Want me to build it?

[Sender Name]
Bothmade","Subject: built it

Here it is.

Projects filterable by style, scale and budget band, with the design process spelled out — so the brief that reaches you already knows what it's asking for.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: would publishing a design fee range help you or cost you?

[Sender Name]","design-led buyers choose from images and yours cannot be narrowed by style, scale or budget",Address published by the business itself — verified in research.,field-run-009;landscape-design-build;FL;confirmed-email,85,9000,"$5,000","$16,000",06082026
