company,email,industry,city,state,country,originalWebsite,source,status,personalisedColdEmail,mockupEmail,personalizedObservation,salesNote,tags,leadScore,estimatedValue,lowestEstimate,highestEstimate,dateAdded
AMP Kitchen Remodeling Milwaukee,info@ampkitchenremodelingmilwaukeewi.com,Kitchen and bath remodeling,Milwaukee,WI,USA,https://ampkitchenremodelingmilwaukeewi.com,cold-outreach,researched,"Subject: your before-and-afters

Hi [First Name],

Your before-and-afters sell this. They're in a small gallery you can't filter, so the woman with a galley kitchen never finds your galley kitchen.

So you spend Tuesday evening quoting jobs that were never real, and the real one went to whoever answered first.

Projects filterable by room, style and budget. A form that asks about the job, so it arrives ready to quote.

So here's what I'll do. I'll build AMP Kitchen Remodeling Milwaukee that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Want it?

[Sender Name]
Bothmade","Subject: AMP Kitchen Remodeling Milwaukee — built it

Built it. Here.

Before-and-afters filterable by room, style and budget band. The inquiry asks about the room, the scope and the timing — so it lands ready to quote instead of ready to interview.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: what do you wish every inquiry told you before you called them back?

[Sender Name]",before-and-afters are what sell this and they sit in a gallery nobody can filter,Address published by the business itself — verified in research.,field-run-006;kitchen-and-bath-remodeling;WI;confirmed-email,85,8500,"$4,000","$15,000",06082026
AestheteMed,info@aesthetemed.com,Med spa,Hallandale Beach,FL,USA,https://aesthetemed.com,cold-outreach,researched,"Subject: reviews vs booking button

Hi [First Name],

Your reviews do the selling. I read them on my phone at 9pm in Hallandale Beach and I was sold. Then I hit a phone number and office hours.

She doesn't call in the morning. She books the spa that let her book at 9pm.

Treatments priced, bookable in two taps, reviews right beside them.

Here's my offer. I'll design that page for AestheteMed and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Say yes and it's yours by Friday.

[Sender Name]
Bothmade","Subject: here it is

Here it is — AestheteMed, as promised.

Treatments priced, bookable in two taps, reviews doing the closing right beside them. Memberships obvious instead of three pages deep.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you let a new client book without a consult call first?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,Address published by the business itself — verified in research.,field-run-006;med-spa;FL;confirmed-email,85,10000,"$5,000","$18,000",06082026
Allure Pools,info@allurepools.net,Pool building,Las Vegas,NV,USA,https://allurepools.net,cold-outreach,researched,"Subject: your build gallery

Hi [First Name],

Your builds look excellent. I went looking for one like mine and scrolled past sixty that weren't. Then couldn't find a starting number.

So they call whoever showed them a pool like theirs, with a number attached.

Gallery filterable by size, style and budget. A starting number said out loud.

Here's my offer. I'll design that page for Allure Pools and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Should I send it over?

[Sender Name]
Bothmade","Subject: built it

Built it. Here.

Builds filterable by size, style and budget band, with a starting range stated plainly and a timeline from signing to swimming.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you publish a starting price, or does that cost you more than it wins?

[Sender Name]","the gallery cannot be sorted, so nobody finds a build that looks like their own yard",Address published by the business itself — verified in research.,field-run-006;pool-building;NV;confirmed-email,85,10000,"$5,000","$18,000",06082026
Amaira Med Spa,appointments@amairamedspa.com,Med spa,Fort Lauderdale,FL,USA,https://amairamedspa.com,cold-outreach,researched,"Subject: the booking you lost last night

Hi [First Name],

Found Amaira Med Spa at 9pm on my phone, the way your next client will. The reviews sold me in about forty seconds. Then the only way to book was a phone number and a front desk that shut at five.

That's the sale, right there. She books wherever the button is, and you never find out you lost her.

Booking belongs on the homepage, next to the reviews, working at midnight.

Let me build it for you. A real homepage for Amaira Med Spa, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Want it?

[Sender Name]
Bothmade","Subject: here it is

Here it is — Amaira Med Spa, as promised.

Booking sits on the homepage next to your reviews. Two taps to Thursday at six. That's the part your site can't do tonight.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your answer on: is membership what you'd push hardest here, or first-visit tox?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,Address published by the business itself — verified in research.,field-run-006;med-spa;FL;confirmed-email,85,10000,"$5,000","$18,000",06082026
BORDEN Landscape Design,tim@bordenlandscape.com,Landscape design build,Sarasota,FL,USA,https://bordenlandscape.com,cold-outreach,researched,"Subject: your gardens, sorted

Hi [First Name],

Went through BORDEN Landscape Design's work the way a homeowner commissioning a garden does. It's beautiful. It's also one long scroll — no way to narrow by style, scale or budget, and nothing about what design costs.

And the inquiries that land are vague, so the first call is about scope instead of the garden.

Projects filterable by style, scale and budget. The design process spelled out so the brief arrives specific.

I'd like to build it and show you. One homepage, designed for BORDEN Landscape Design, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Should I send it over?

[Sender Name]
Bothmade","Subject: here it is

Here it is — BORDEN Landscape Design, as promised.

Projects filterable by style, scale and budget band, with the design process spelled out — so the brief that reaches you already knows what it's asking for.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: would publishing a design fee range help you or cost you?

[Sender Name]","design-led buyers choose from images and yours cannot be narrowed by style, scale or budget",Address published by the business itself — verified in research.,field-run-006;landscape-design-build;FL;confirmed-email,85,9000,"$5,000","$16,000",06082026
Coastal Luxury Homes,joe@coastal-lux.com,Custom home building,Westport,CT,USA,https://coastal-lux.com,cold-outreach,researched,"Subject: they couldn't find their house

Hi [First Name],

Went through Coastal Luxury Homes' portfolio the way a couple with a lot and three million dollars does — hunting for the one house that looks like the one in their head. Couldn't sort by budget, style or scope. Just scrolled.

And the inquiries that do land ask for a name and a message, so your first call is an interview instead of a conversation.

Sort the work the way buyers actually choose, and put the process where the fear is.

Here's my offer. I'll design that page for Coastal Luxury Homes and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Should I send it over?

[Sender Name]
Bothmade","Subject: Coastal Luxury Homes — built it

Here it is.

Projects sortable the way buyers choose, and the build process laid out month by month, which is the part they're actually frightened of.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you ever show budget bands publicly, or is that a fight with your sales process?

[Sender Name]","the portfolio is the whole sale and there is no way to sort it by budget, style or scope",Address published by the business itself — verified in research.,field-run-006;custom-home-building;CT;confirmed-email,85,22000,"$12,000","$35,000",06082026
Colonial Home Crafters,info@chchomes.com,Custom home building,Richmond,VA,USA,https://chchomes.com,cold-outreach,researched,"Subject: they couldn't find their house

Hi [First Name],

Went through Colonial Home Crafters' portfolio the way a couple with a lot and three million dollars does — hunting for the one house that looks like the one in their head. Couldn't sort by budget, style or scope. Just scrolled.

They don't email to ask. They go and look at the builder whose site let them filter.

Sort the work the way buyers actually choose, and put the process where the fear is.

Here's my offer. I'll design that page for Colonial Home Crafters and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Want it?

[Sender Name]
Bothmade","Subject: built it

Built it. Here.

Projects sortable the way buyers choose, and the build process laid out month by month, which is the part they're actually frightened of.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you ever show budget bands publicly, or is that a fight with your sales process?

[Sender Name]","the portfolio is the whole sale and there is no way to sort it by budget, style or scope",Address published by the business itself — verified in research.,field-run-006;custom-home-building;VA;confirmed-email,85,22000,"$12,000","$35,000",06082026
Dentist in Greenville,dentalcare@dentistingreenville.com,Cosmetic dentistry,Greenville,SC,USA,https://dentistingreenville.com,cold-outreach,researched,"Subject: cases, price, booking

Hi [First Name],

Went looking for veneers in Greenville the way a patient does. Nine at night, on a phone, three years of putting it off. Found Dentist in Greenville. Couldn't find a case that looked like mine, couldn't find a price, couldn't book.

That's the biggest case of the month deciding not to call you.

Before-and-afters up front, the range in plain numbers, financing mentioned before they ask.

Here's my offer. I'll design that page for Dentist in Greenville and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Should I send it over?

[Sender Name]
Bothmade","Subject: here it is

Here it is.

A homepage built for the cosmetic patient rather than the check-up patient — cases, price, and one tap to a consult.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: does a price range on the site bring you better calls or worse ones?

[Sender Name]",the cases and the price range are the two things a $15k patient wants and the two hardest things to reach,Address published by the business itself — verified in research.,field-run-006;cosmetic-dentistry;SC;confirmed-email,85,12000,"$6,000","$22,000",06082026
Desert Springs Pools and Spas,info@desertsprings.vegas,Pool building,Las Vegas,NV,USA,https://desertspringspools.com,cold-outreach,researched,"Subject: your build gallery

Hi [First Name],

Your builds look excellent. I went looking for one like mine and scrolled past sixty that weren't. Then couldn't find a starting number.

So they call whoever showed them a pool like theirs, with a number attached.

Gallery filterable by size, style and budget. A starting number said out loud.

So here's what I'll do. I'll build Desert Springs Pools and Spas that homepage. Free. Not a slide, not a proposal — the actual page, designed for your business. Yours to keep whether you hire me or not.

Should I send it over?

[Sender Name]
Bothmade","Subject: built it

Here it is — Desert Springs Pools and Spas, as promised.

Builds filterable by size, style and budget band, with a starting range stated plainly and a timeline from signing to swimming.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you publish a starting price, or does that cost you more than it wins?

[Sender Name]","the gallery cannot be sorted, so nobody finds a build that looks like their own yard",Address published by the business itself — verified in research.,field-run-006;pool-building;NV;confirmed-email,85,10000,"$5,000","$18,000",06082026
Distinctly U,4distinctlyu@gmail.com,Kitchen and bath remodeling,Millvale,PA,USA,https://distinctlyu.com,cold-outreach,researched,"Subject: the tire-kicker problem

Hi [First Name],

Your before-and-afters sell this. They're in a small gallery you can't filter, so the woman with a galley kitchen never finds your galley kitchen.

So you spend Tuesday evening quoting jobs that were never real, and the real one went to whoever answered first.

Projects filterable by room, style and budget. A form that asks about the job, so it arrives ready to quote.

Here's my offer. I'll design that page for Distinctly U and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Want me to build it?

[Sender Name]
Bothmade","Subject: here it is

Here it is — Distinctly U, as promised.

Before-and-afters filterable by room, style and budget band. The inquiry asks about the room, the scope and the timing — so it lands ready to quote instead of ready to interview.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: what do you wish every inquiry told you before you called them back?

[Sender Name]",before-and-afters are what sell this and they sit in a gallery nobody can filter,Address published by the business itself — verified in research.,field-run-006;kitchen-and-bath-remodeling;PA;confirmed-email,85,8500,"$4,000","$15,000",06082026
